"id_site","code_module","code_presentation","activity_type","week_from","week_to"
"546943","AAA","2013J","resource","",""
"546712","AAA","2013J","oucontent","",""
"546998","AAA","2013J","resource","",""
"546888","AAA","2013J","url","",""
"547035","AAA","2013J","resource","",""
"546614","AAA","2013J","homepage","",""
"546897","AAA","2013J","url","",""
"546678","AAA","2013J","oucontent","",""
"546933","AAA","2013J","resource","",""
"546708","AAA","2013J","oucontent","",""
"546995","AAA","2013J","resource","",""
"546884","AAA","2013J","url","",""
"547031","AAA","2013J","resource","",""
"546891","AAA","2013J","url","",""
"546675","AAA","2013J","oucontent","",""
"546927","AAA","2013J","resource","",""
"546705","AAA","2013J","oucontent","",""
"546991","AAA","2013J","resource","",""
"546876","AAA","2013J","subpage","",""
"547027","AAA","2013J","resource","",""
"546671","AAA","2013J","oucontent","",""
"546923","AAA","2013J","resource","",""
"546702","AAA","2013J","oucontent","",""
"546988","AAA","2013J","resource","",""
"546872","AAA","2013J","subpage","",""
"547024","AAA","2013J","resource","",""
"546668","AAA","2013J","oucontent","",""
"546920","AAA","2013J","resource","",""
"546699","AAA","2013J","oucontent","",""
"546985","AAA","2013J","resource","",""
"546739","AAA","2013J","oucontent","",""
"547021","AAA","2013J","resource","",""
"546665","AAA","2013J","oucontent","",""
"546917","AAA","2013J","resource","",""
"546695","AAA","2013J","oucontent","",""
"546982","AAA","2013J","resource","",""
"546736","AAA","2013J","oucontent","",""
"547018","AAA","2013J","resource","",""
"546661","AAA","2013J","glossary","",""
"546692","AAA","2013J","oucontent","",""
"546972","AAA","2013J","resource","",""
"546733","AAA","2013J","oucontent","",""
"547014","AAA","2013J","resource","",""
"546658","AAA","2013J","forumng","",""
"546914","AAA","2013J","resource","",""
"546689","AAA","2013J","oucontent","",""
"546968","AAA","2013J","resource","",""
"546728","AAA","2013J","oucontent","",""
"547011","AAA","2013J","resource","",""
"547066","AAA","2013J","oucollaborate","",""
"546655","AAA","2013J","forumng","",""
"546910","AAA","2013J","resource","",""
"546686","AAA","2013J","oucontent","",""
"546961","AAA","2013J","resource","",""
"546723","AAA","2013J","oucontent","",""
"547007","AAA","2013J","resource","",""
"547048","AAA","2013J","dataplus","",""
"546652","AAA","2013J","forumng","",""
"546906","AAA","2013J","resource","",""
"546954","AAA","2013J","resource","",""
"546717","AAA","2013J","oucontent","",""
"547004","AAA","2013J","resource","",""
"547042","AAA","2013J","resource","",""
"546649","AAA","2013J","forumng","",""
"546903","AAA","2013J","url","",""
"546683","AAA","2013J","oucontent","",""
"546948","AAA","2013J","resource","",""
"546714","AAA","2013J","oucontent","",""
"547001","AAA","2013J","resource","",""
"547037","AAA","2013J","resource","",""
"546645","AAA","2013J","forumng","",""
"546899","AAA","2013J","url","",""
"546680","AAA","2013J","oucontent","",""
"546942","AAA","2013J","resource","",""
"546711","AAA","2013J","oucontent","",""
"546997","AAA","2013J","resource","",""
"546887","AAA","2013J","url","",""
"547034","AAA","2013J","resource","",""
"546896","AAA","2013J","url","",""
"546677","AAA","2013J","oucontent","",""
"546930","AAA","2013J","resource","",""
"546707","AAA","2013J","oucontent","",""
"546994","AAA","2013J","resource","",""
"546883","AAA","2013J","url","",""
"547030","AAA","2013J","resource","",""
"546890","AAA","2013J","url","",""
"546674","AAA","2013J","oucontent","",""
"546925","AAA","2013J","resource","",""
"546704","AAA","2013J","oucontent","",""
"546990","AAA","2013J","resource","",""
"546874","AAA","2013J","subpage","",""
"547026","AAA","2013J","resource","",""
"546670","AAA","2013J","oucontent","",""
"546922","AAA","2013J","resource","",""
"546701","AAA","2013J","oucontent","",""
"546987","AAA","2013J","resource","",""
"546871","AAA","2013J","subpage","",""
"547023","AAA","2013J","resource","",""
"546667","AAA","2013J","oucontent","",""
"546919","AAA","2013J","resource","",""
"546697","AAA","2013J","oucontent","",""
"546984","AAA","2013J","resource","",""
"546738","AAA","2013J","oucontent","",""
"547020","AAA","2013J","resource","",""
"546664","AAA","2013J","oucontent","",""
"546694","AAA","2013J","oucontent","",""
"546975","AAA","2013J","resource","",""
"546735","AAA","2013J","oucontent","",""
"547017","AAA","2013J","resource","",""
"546660","AAA","2013J","glossary","",""
"546916","AAA","2013J","resource","",""
"546691","AAA","2013J","oucontent","",""
"546971","AAA","2013J","resource","",""
"546732","AAA","2013J","oucontent","2","2"
"547013","AAA","2013J","resource","",""
"546657","AAA","2013J","forumng","",""
"546913","AAA","2013J","resource","",""
"546688","AAA","2013J","oucontent","",""
"546966","AAA","2013J","resource","",""
"546726","AAA","2013J","oucontent","",""
"547009","AAA","2013J","resource","",""
"547050","AAA","2013J","dataplus","",""
"546654","AAA","2013J","forumng","",""
"546909","AAA","2013J","resource","",""
"546685","AAA","2013J","oucontent","",""
"546960","AAA","2013J","resource","",""
"546721","AAA","2013J","oucontent","",""
"547006","AAA","2013J","resource","",""
"547047","AAA","2013J","dataplus","",""
"546651","AAA","2013J","forumng","",""
"546905","AAA","2013J","url","",""
"546952","AAA","2013J","resource","",""
"546716","AAA","2013J","oucontent","",""
"547003","AAA","2013J","resource","",""
"547040","AAA","2013J","resource","",""
"546648","AAA","2013J","forumng","",""
"546901","AAA","2013J","url","",""
"546682","AAA","2013J","oucontent","",""
"546947","AAA","2013J","resource","",""
"546713","AAA","2013J","oucontent","",""
"547000","AAA","2013J","resource","",""
"546889","AAA","2013J","url","",""
"547036","AAA","2013J","resource","",""
"546644","AAA","2013J","forumng","",""
"546898","AAA","2013J","url","",""
"546679","AAA","2013J","oucontent","",""
"546935","AAA","2013J","resource","",""
"546709","AAA","2013J","oucontent","",""
"546996","AAA","2013J","resource","",""
"546885","AAA","2013J","url","",""
"547032","AAA","2013J","resource","",""
"546894","AAA","2013J","url","",""
"546676","AAA","2013J","oucontent","",""
"546928","AAA","2013J","resource","",""
"546706","AAA","2013J","oucontent","",""
"546992","AAA","2013J","resource","",""
"546879","AAA","2013J","subpage","",""
"547028","AAA","2013J","resource","",""
"546672","AAA","2013J","oucontent","",""
"546924","AAA","2013J","resource","",""
"546703","AAA","2013J","oucontent","",""
"546989","AAA","2013J","resource","",""
"546873","AAA","2013J","subpage","",""
"547025","AAA","2013J","resource","",""
"546669","AAA","2013J","oucontent","",""
"546921","AAA","2013J","resource","",""
"546700","AAA","2013J","oucontent","",""
"546986","AAA","2013J","resource","",""
"546740","AAA","2013J","oucontent","",""
"547022","AAA","2013J","resource","",""
"546666","AAA","2013J","oucontent","",""
"546918","AAA","2013J","resource","",""
"546696","AAA","2013J","oucontent","",""
"546983","AAA","2013J","resource","",""
"546737","AAA","2013J","oucontent","",""
"547019","AAA","2013J","resource","",""
"546662","AAA","2013J","oucontent","",""
"546693","AAA","2013J","oucontent","",""
"546974","AAA","2013J","resource","",""
"546734","AAA","2013J","oucontent","",""
"547015","AAA","2013J","resource","",""
"546659","AAA","2013J","forumng","",""
"546915","AAA","2013J","resource","",""
"546690","AAA","2013J","oucontent","",""
"546970","AAA","2013J","resource","",""
"546731","AAA","2013J","oucontent","",""
"547012","AAA","2013J","resource","",""
"547067","AAA","2013J","oucollaborate","",""
"546656","AAA","2013J","forumng","",""
"546911","AAA","2013J","resource","",""
"546687","AAA","2013J","oucontent","",""
"546965","AAA","2013J","resource","",""
"546725","AAA","2013J","oucontent","",""
"547008","AAA","2013J","resource","",""
"547049","AAA","2013J","dataplus","",""
"546653","AAA","2013J","forumng","",""
"546907","AAA","2013J","resource","",""
"546955","AAA","2013J","resource","",""
"546719","AAA","2013J","oucontent","1","1"
"547005","AAA","2013J","resource","",""
"547043","AAA","2013J","resource","",""
"546650","AAA","2013J","forumng","",""
"546904","AAA","2013J","url","",""
"546684","AAA","2013J","oucontent","",""
"546949","AAA","2013J","resource","",""
"546715","AAA","2013J","oucontent","",""
"547002","AAA","2013J","resource","",""
"547038","AAA","2013J","resource","",""
"546647","AAA","2013J","forumng","",""
"546900","AAA","2013J","url","",""
"546681","AAA","2013J","oucontent","1","1"
"877162","AAA","2014J","resource","",""
"877223","AAA","2014J","resource","",""
"877032","AAA","2014J","oucontent","",""
"877263","AAA","2014J","resource","",""
"877064","AAA","2014J","oucontent","",""
"877098","AAA","2014J","oucontent","",""
"877157","AAA","2014J","resource","",""
"877220","AAA","2014J","resource","",""
"877029","AAA","2014J","glossary","",""
"877260","AAA","2014J","resource","",""
"877061","AAA","2014J","oucontent","",""
"1032910","AAA","2014J","url","",""
"877094","AAA","2014J","oucontent","",""
"877154","AAA","2014J","resource","",""
"877217","AAA","2014J","resource","",""
"877025","AAA","2014J","forumng","",""
"877256","AAA","2014J","resource","",""
"877058","AAA","2014J","oucontent","",""
"877423","AAA","2014J","dataplus","",""
"877091","AAA","2014J","oucontent","",""
"877151","AAA","2014J","resource","",""
"877214","AAA","2014J","resource","",""
"877012","AAA","2014J","forumng","",""
"877253","AAA","2014J","resource","",""
"877055","AAA","2014J","oucontent","",""
"877420","AAA","2014J","dataplus","",""
"877088","AAA","2014J","oucontent","",""
"877148","AAA","2014J","resource","",""
"877211","AAA","2014J","resource","",""
"877247","AAA","2014J","resource","",""
"877052","AAA","2014J","oucontent","",""
"877402","AAA","2014J","url","",""
"877085","AAA","2014J","oucontent","",""
"877145","AAA","2014J","resource","",""
"877208","AAA","2014J","resource","",""
"877244","AAA","2014J","resource","",""
"877049","AAA","2014J","oucontent","",""
"877397","AAA","2014J","url","",""
"877081","AAA","2014J","oucontent","",""
"877142","AAA","2014J","resource","",""
"877203","AAA","2014J","resource","",""
"877241","AAA","2014J","resource","",""
"877046","AAA","2014J","oucontent","",""
"877394","AAA","2014J","url","",""
"877078","AAA","2014J","oucontent","",""
"877197","AAA","2014J","resource","",""
"877237","AAA","2014J","resource","",""
"877043","AAA","2014J","oucontent","",""
"877387","AAA","2014J","url","",""
"877075","AAA","2014J","oucontent","",""
"877139","AAA","2014J","resource","",""
"877190","AAA","2014J","resource","",""
"877233","AAA","2014J","resource","",""
"877040","AAA","2014J","oucontent","2","2"
"877384","AAA","2014J","url","",""
"877072","AAA","2014J","oucontent","",""
"877135","AAA","2014J","subpage","",""
"877184","AAA","2014J","resource","",""
"877229","AAA","2014J","resource","",""
"877037","AAA","2014J","oucontent","",""
"877380","AAA","2014J","oucollaborate","",""
"877069","AAA","2014J","oucontent","",""
"877132","AAA","2014J","subpage","",""
"877172","AAA","2014J","resource","",""
"877225","AAA","2014J","resource","",""
"877034","AAA","2014J","oucontent","",""
"877265","AAA","2014J","resource","",""
"877066","AAA","2014J","oucontent","",""
"877100","AAA","2014J","oucontent","",""
"877159","AAA","2014J","resource","",""
"877222","AAA","2014J","resource","",""
"877031","AAA","2014J","oucontent","",""
"877262","AAA","2014J","resource","",""
"877063","AAA","2014J","oucontent","",""
"1072237","AAA","2014J","url","",""
"877096","AAA","2014J","oucontent","",""
"877156","AAA","2014J","resource","",""
"877219","AAA","2014J","resource","",""
"877028","AAA","2014J","glossary","",""
"877259","AAA","2014J","resource","",""
"877060","AAA","2014J","oucontent","",""
"1027118","AAA","2014J","url","",""
"877093","AAA","2014J","oucontent","",""
"877153","AAA","2014J","resource","",""
"877216","AAA","2014J","resource","",""
"877023","AAA","2014J","forumng","",""
"877255","AAA","2014J","resource","",""
"877057","AAA","2014J","oucontent","",""
"877422","AAA","2014J","dataplus","",""
"877090","AAA","2014J","oucontent","",""
"877150","AAA","2014J","resource","",""
"877213","AAA","2014J","resource","",""
"877011","AAA","2014J","forumng","",""
"877252","AAA","2014J","resource","",""
"877054","AAA","2014J","oucontent","",""
"877404","AAA","2014J","url","",""
"877087","AAA","2014J","oucontent","",""
"877147","AAA","2014J","resource","",""
"877210","AAA","2014J","resource","",""
"877246","AAA","2014J","resource","",""
"877051","AAA","2014J","oucontent","",""
"877399","AAA","2014J","url","",""
"877084","AAA","2014J","oucontent","",""
"877144","AAA","2014J","resource","",""
"877207","AAA","2014J","resource","",""
"877243","AAA","2014J","resource","",""
"877048","AAA","2014J","oucontent","",""
"877396","AAA","2014J","url","",""
"877080","AAA","2014J","oucontent","",""
"877141","AAA","2014J","resource","",""
"877199","AAA","2014J","resource","",""
"877240","AAA","2014J","resource","",""
"877045","AAA","2014J","oucontent","1","1"
"877393","AAA","2014J","url","",""
"877077","AAA","2014J","oucontent","",""
"877196","AAA","2014J","resource","",""
"877236","AAA","2014J","resource","",""
"877042","AAA","2014J","oucontent","",""
"877386","AAA","2014J","url","",""
"877074","AAA","2014J","oucontent","",""
"877138","AAA","2014J","resource","",""
"877187","AAA","2014J","resource","",""
"877231","AAA","2014J","resource","",""
"877039","AAA","2014J","oucontent","",""
"877383","AAA","2014J","url","",""
"877071","AAA","2014J","oucontent","",""
"877134","AAA","2014J","subpage","",""
"877182","AAA","2014J","resource","",""
"877228","AAA","2014J","resource","",""
"877036","AAA","2014J","oucontent","",""
"877379","AAA","2014J","oucollaborate","",""
"877068","AAA","2014J","oucontent","",""
"877129","AAA","2014J","subpage","",""
"877168","AAA","2014J","resource","",""
"877224","AAA","2014J","resource","",""
"877033","AAA","2014J","oucontent","",""
"877264","AAA","2014J","resource","",""
"877065","AAA","2014J","oucontent","",""
"877099","AAA","2014J","oucontent","",""
"877158","AAA","2014J","resource","",""
"877221","AAA","2014J","resource","",""
"877030","AAA","2014J","homepage","",""
"877261","AAA","2014J","resource","",""
"877062","AAA","2014J","oucontent","",""
"1072236","AAA","2014J","resource","",""
"877095","AAA","2014J","oucontent","",""
"877155","AAA","2014J","resource","",""
"877218","AAA","2014J","resource","",""
"877026","AAA","2014J","forumng","",""
"877258","AAA","2014J","resource","",""
"877059","AAA","2014J","oucontent","",""
"1010323","AAA","2014J","resource","",""
"877092","AAA","2014J","oucontent","",""
"877152","AAA","2014J","resource","",""
"877215","AAA","2014J","resource","",""
"877015","AAA","2014J","forumng","",""
"877254","AAA","2014J","resource","",""
"877056","AAA","2014J","oucontent","",""
"877421","AAA","2014J","dataplus","",""
"877089","AAA","2014J","oucontent","",""
"877149","AAA","2014J","resource","",""
"877212","AAA","2014J","resource","",""
"877248","AAA","2014J","resource","",""
"877053","AAA","2014J","oucontent","",""
"877403","AAA","2014J","url","",""
"877086","AAA","2014J","oucontent","",""
"877146","AAA","2014J","resource","",""
"877209","AAA","2014J","resource","",""
"877245","AAA","2014J","resource","",""
"877050","AAA","2014J","oucontent","",""
"877398","AAA","2014J","url","",""
"877082","AAA","2014J","oucontent","",""
"877143","AAA","2014J","resource","",""
"877206","AAA","2014J","resource","",""
"877242","AAA","2014J","resource","",""
"877047","AAA","2014J","oucontent","",""
"877395","AAA","2014J","url","",""
"877079","AAA","2014J","oucontent","",""
"877198","AAA","2014J","resource","",""
"877238","AAA","2014J","resource","",""
"877044","AAA","2014J","oucontent","1","1"
"877392","AAA","2014J","url","",""
"877076","AAA","2014J","oucontent","",""
"877140","AAA","2014J","resource","",""
"877195","AAA","2014J","resource","",""
"877234","AAA","2014J","resource","",""
"877041","AAA","2014J","oucontent","",""
"877385","AAA","2014J","url","",""
"877073","AAA","2014J","oucontent","",""
"877137","AAA","2014J","resource","",""
"877186","AAA","2014J","resource","",""
"877230","AAA","2014J","resource","",""
"877038","AAA","2014J","oucontent","",""
"877381","AAA","2014J","url","",""
"877070","AAA","2014J","oucontent","",""
"877133","AAA","2014J","subpage","",""
"877180","AAA","2014J","resource","",""
"877227","AAA","2014J","resource","",""
"877035","AAA","2014J","oucontent","",""
"877266","AAA","2014J","resource","",""
"877067","AAA","2014J","oucontent","",""
"877128","AAA","2014J","subpage","",""
"543306","BBB","2013B","resource","",""
"542803","BBB","2013B","forumng","",""
"543170","BBB","2013B","resource","",""
"543040","BBB","2013B","subpage","",""
